ID;date;country;location;plugin;prio;title;desc
1;2023-12-14;Germany;90.0,0.0;expdb;4;Support for video, pictures and sound;"Add support for video, pictures and sound fact to the import and visualization plugins."
2;2023-12-14;Germany;70.0,30.0;electron;2;Encryption of data for Electron;"Add encryption support for the database to the Electron version. There should be a configuration option, so that the use can decide whats gets encrypted"
3;2023-12-14;Germany;70.0,-30.0;woco;1;Undo;"Add a simple undo function for the workspace - it should work indenpent of the protocol"
4;2023-12-14;Germany;70.0,25.0;woco;3;Formal Concept Analysis Visualization;"Graph visualization of rules and implications."
5;2023-12-14;Germany;70.0,-25.0;map;3;Hexagon heatmap;"Add a hexagon heatmap to the map plugin."
6;2023-12-14;Germany;45.0,40.0;expdb;2;Summary and improved statistics of data;"Add a summary and improved statistics of data to expdb and use it in the right places, e.g. data-atlas."
7;2023-12-14;Germany;45.0,-40.0;search;4;Embed wikipedia for searching;"Wikipedia embedding for faster and better additional data."
8;2023-12-14;Germany;45.0,28.0;hints;4;Hints and suggestions for next steps;"To empower the user, the system should give hints and suggestions for next steps."
9;2023-12-14;Germany;45.0,-28.0;woco;1;Notifications;"More transparent error messages and notifications for the user."
10;2023-12-14;Germany;15.0,50.0;expdb;1;Migration;"Implement a migration strategy for the user data and events."
11;2023-12-14;Germany;15.0,-50.0;projects;2;Sharing;"Adds a sharing function that allows users to share their data and projects without a shared server."
12;2023-12-14;Germany;15.0,32.0;expdb;1;Performance;"Improve the performance, mainly import and read performance for the data."
13;2023-12-14;Germany;15.0,-32.0;expdb;2;Units;"Allow the user to specify units for facts and allow operations based on the units, e.g. tranforming units into different ones."
14;2023-12-14;Germany;15.0,5.0;charts;4;Better Charts;"Check out ECharts and test them compared to Chartjs."
15;2023-12-14;Germany;15.0,-5.0;map;4;Better Map;"Look into performance improvements for the map plugin. The goal is to have a similar performance as mosaic."
16;2023-12-14;Germany;-15.0,5.0;table;3;Improve Table;"Add some common features to the table plugin."
17;2023-12-14;Germany;-15.0,-5.0;indicator;2;Aggregations;"Improve the indicator plugin to allow more complex aggregations, e.g. by introducing a VPL."
18;2023-12-14;Germany;90.0,0.0;expdb;1;Time granularities;"Allow more flexibility for time attributes."
